confi1_z,nrep,Mean,CI_Low,CI_High
-6.641588380900175,1,0.039628829983778785,0.0147618202488072,0.07814136587441921
-6.641588380900175,2,0.06573947423212877,0.01743982265588889,0.14385660723322705
-6.342880959913984,1,0.049522706825691445,0.019469772633753844,0.09432040760225495
-6.342880959913984,2,0.07945754984971688,0.02284638783641246,0.1667276998617818
-6.044173538927794,1,0.06174459591587951,0.02564014686881206,0.11343715067002325
-6.044173538927794,2,0.09578543518400945,0.029878106506807767,0.19241793273465319
-5.745466117941603,1,0.07676077888220628,0.03369883458112836,0.1358473579095157
-5.745466117941603,2,0.11510177727901404,0.03898773607825531,0.2210168937680314
-5.446758696955412,1,0.09508719732622409,0.04417553187969457,0.16187654168600982
-5.446758696955412,2,0.13778874612258915,0.05072961905662631,0.25253746743344224
-5.148051275969221,1,0.11727113258431288,0.05771481147440847,0.1914942878866887
-5.148051275969221,2,0.16420764090805626,0.06576582525268794,0.285919876223976
-4.84934385498303,1,0.14385874065097626,0.07507777708513036,0.22457252224277946
-4.84934385498303,2,0.1946655260837852,0.0848917063031468,0.3224467725092645
-4.550636433996839,1,0.1753452060508697,0.09712581833631477,0.26369988612163175
-4.550636433996839,2,0.22937317544652436,0.10894164814506953,0.3633847746073254
-4.251929013010649,1,0.21210636608212358,0.12477521023021779,0.30574358890982545
-4.251929013010649,2,0.2683966123025843,0.13877388253303213,0.40526314808924796
-3.9532215920244584,1,0.25431495353500533,0.1589103529569035,0.35116685993379027
-3.9532215920244584,2,0.3116073091750101,0.17517165019961503,0.4493790532376585
-3.654514171038268,1,0.3018512529256308,0.20024859491165195,0.39968274066421994
-3.654514171038268,2,0.3586392460448883,0.21852628394587262,0.494305869650991
-3.3558067500520767,1,0.35422586929716254,0.24921904762303942,0.4525764580831113
-3.3558067500520767,2,0.4088636082912661,0.2690526483719482,0.5419721161151528
-3.057099329065886,1,0.41053853529024154,0.3065277178015553,0.5033848736250873
-3.057099329065886,2,0.46139254621026493,0.3263825004307122,0.5898971793608353
-2.7583919080796955,1,0.46949694709453554,0.37228121329379543,0.5541229300786722
-2.7583919080796955,2,0.5151206247262907,0.38956672611384585,0.6360324717461414
-2.4596844870935044,1,0.5295095000598995,0.44312647868909427,0.6037565425347645
-2.4596844870935044,2,0.5688055523691993,0.45596113943309124,0.6745614075190195
-2.160977066107314,1,0.5888454430086086,0.5150432442506041,0.6533401294823572
-2.160977066107314,2,0.6211793821315943,0.5159700899949429,0.7135419988496303
-1.8622696451211231,1,0.6458320267972002,0.5856871091273396,0.7011733737426239
-1.8622696451211231,2,0.6710708615412065,0.5831583770031284,0.7496434877908623
-1.563562224134932,1,0.6990423696020112,0.6474092158180527,0.7449806118734393
-1.563562224134932,2,0.7175138366459376,0.6448702010023911,0.7838679189040509
-1.2648548031487419,1,0.7474296563746111,0.7045930481803503,0.786208226216506
-1.2648548031487419,2,0.7598194228473024,0.7004371709642992,0.8156999801060887
-0.9661473821625508,1,0.7903828709515714,0.7559224255383,0.8258192120872987
-0.9661473821625508,2,0.797600685001028,0.7456428797490088,0.8425933614626502
-0.6674399611763606,1,0.8277059730095977,0.8009432529163216,0.8557982462112713
-0.6674399611763606,2,0.8307526877802788,0.7838475687899734,0.8662056871767286
-0.36873254019016954,1,0.8595429761471673,0.8356633983262037,0.8814185315863323
-0.36873254019016954,2,0.8594014503290562,0.8197637448639867,0.8915909802296932
-0.07002511920397847,1,0.8862786724153611,0.86612588430823,0.9048237596915623
-0.07002511920397847,2,0.8838390017468539,0.8499118851136805,0.9109129165023292
0.22868230178221172,1,0.9084403594406676,0.8912676172308475,0.9254892949766289
0.22868230178221172,2,0.9044591923908905,0.878585102390584,0.9322126856122912
0.5273897227684028,1,0.9266160516754597,0.9106583272109292,0.9424579514527183
0.5273897227684028,2,0.9217034035854708,0.898011479288275,0.948029600427726
0.8260971437545939,1,0.941394990512257,0.92705895217549,0.9553902337153747
0.8260971437545939,2,0.936019841395023,0.9145684498918519,0.9583566233048114
1.124804564740784,1,0.9533296431750494,0.9406989532914541,0.965660270855091
1.124804564740784,2,0.9478362520293484,0.9296064028913967,0.966077534103837
1.4235119857269742,1,0.9629151076939823,0.9513969577444984,0.9733543498145654
1.4235119857269742,2,0.9575438774652194,0.9410841104779252,0.9744197456955968
1.7222194067131662,1,0.9705810059691166,0.9603551808218984,0.9798100706994571
1.7222194067131662,2,0.9654898293021771,0.9509929642426839,0.9806392741710248
2.0209268276993564,1,0.9766914431866024,0.9676308121047051,0.984559607730156
2.0209268276993564,2,0.9719752163599499,0.959464765962612,0.9848273664487107
2.3196342486855466,1,0.9815496123465907,0.9738664421280135,0.9881998703567796
2.3196342486855466,2,0.9772568629730566,0.9659871227266357,0.9881175776492137
2.6183416696717385,1,0.9854046544105677,0.9790348221291335,0.9909897354675308
2.6183416696717385,2,0.9815510248089357,0.9720234664018158,0.9908963643225387
2.9170490906579287,1,0.9884592416074516,0.9830607100059652,0.9931177454767364
2.9170490906579287,2,0.9850380139301924,0.9764062516107027,0.993096757178252
3.215756511644119,1,0.9908769834197184,0.9863029452812662,0.994759202038034
3.215756511644119,2,0.9878670395729493,0.9804036617704565,0.9947680730472629
3.514463932630311,1,0.9927891838123601,0.9888093374661269,0.9960063633196573
3.514463932630311,2,0.9901608558155943,0.9836110619296656,0.996012813497321
3.813171353616501,1,0.994300750199115,0.9908613330169532,0.9969603157151647
3.813171353616501,2,0.9920200003961558,0.986307191092619,0.9969278779720628
4.111878774602691,1,0.9954952155266104,0.9925398934295321,0.9976900911711604
4.111878774602691,2,0.9935265329117935,0.9885688183329825,0.9976334144694743
4.410586195588883,1,0.9964389222281269,0.9939020934998573,0.9982449661635464
4.410586195588883,2,0.994747255773942,0.9904604537083743,0.998177201298758
4.709293616575073,1,0.9971844581129148,0.9949915056946321,0.9986667280611254
4.709293616575073,2,0.9957364436034115,0.9920463806163891,0.9985962036222947
5.0080010375612645,1,0.99777344826413,0.9959364516768218,0.9989872354482229
5.0080010375612645,2,0.9965381279363825,0.9933580126098578,0.9989541608685552
