subj,dprime,metad,metad_eff
s01,1.1229050110829808,0.086,0.07658706582585972
s03,1.3971443253262554,0.556,0.3979545920355545
s04,1.3576307970967996,0.591,0.43531717258021324
s05,1.476954441307577,0.558,0.3778044768300311
s07,1.1178707062958728,0.596,0.5331564702816834
s08,1.0386775984823517,0.727,0.699928448502447
s09,1.0494588396143223,1.107,1.0548293636812132
s10,1.0257012065176057,1.217,1.1865053801894996
s11,0.8815852041575697,0.509,0.5773690365940217
s12,1.3062386740443852,0.487,0.37282619912955667
s13,1.1848701088125058,0.794,0.6701156473562815
s14,1.083848283865201,0.586,0.5406660772762557
s15,1.2533484225872455,0.913,0.7284486767975695
s16,1.1254578938181394,0.296,0.2630040640577088
s17,1.2376926549481029,1.106,0.8935982576759941
s18,1.2575521024913598,0.195,0.1550631577122585
s19,1.1906521079798533,0.578,0.4854482649685781
s20,1.3624379904119142,0.596,0.4374511017707365
s21,1.1681523456773477,0.359,0.3073229286646131
s22,1.1035250774954561,1.226,1.1109851737873606
s23,1.3948978761864903,0.444,0.3183028719018851
s25,1.4698204726575244,0.906,0.6164018101897146
s26,1.1990656138392013,0.248,0.20682771412812578
s27,1.4877724723028902,0.4,0.26885831499547025
