metad_eff,correct_prev,Mean,CI_Low,CI_High
0.07658706582585972,0,0.2501651492273283,0.19507383613407447,0.3134618107975053
0.07658706582585972,1,0.8879625707239357,0.8534959523712513,0.9205658944250479
0.10504650978390177,0,0.2519252273832821,0.19671020316926924,0.31303418173872716
0.10504650978390177,1,0.8889706573660899,0.8552710348113775,0.921062297208114
0.13350595374194382,0,0.2536982330129154,0.19883728052707508,0.3125955168229452
0.13350595374194382,1,0.8899678199917538,0.8570282013664771,0.9215557645565501
0.16196539769998586,0,0.2554841481265095,0.20175200899657736,0.31318508300622916
0.16196539769998586,1,0.8909541476562498,0.8587675456019302,0.9218593441842807
0.19042484165802792,0,0.2572829501229165,0.20419054545411647,0.31510847577870704
0.19042484165802792,1,0.8919297304250852,0.8604891627935984,0.9217908314401737
0.21888428561606998,0,0.2590946116714853,0.2072484852491108,0.3170383321003867
0.21888428561606998,1,0.8928946592775084,0.8621931498645166,0.9217221656050181
0.24734372957411202,0,0.2609191005964147,0.20935112355101623,0.31897460483675677
0.24734372957411202,1,0.8938490260132297,0.8638796053223143,0.9216493977171029
0.27580317353215406,0,0.26275637976395866,0.21152461622054264,0.32091724600517674
0.27580317353215406,1,0.8947929231623262,0.8655486291973811,0.9215592471432335
0.3042626174901961,0,0.26460640697292154,0.2144657724862769,0.3228662067766773
0.3042626174901961,1,0.8957264438983453,0.8672003831725468,0.9214689800339462
0.3327220614482382,0,0.26646913484889656,0.2166056737349409,0.32482143747797787
0.3327220614482382,1,0.8966496819546044,0.8688487314507527,0.921378596201244
0.36118150540628025,0,0.2683445107427101,0.21876098045501924,0.32678288759372015
0.36118150540628025,1,0.8975627315436756,0.8704796638116821,0.921765223791604
0.38964094936432225,0,0.27023247663354666,0.22093168512437594,0.3287505057689214
0.38964094936432225,1,0.8984656872800397,0.8720932884671659,0.922001697612422
0.4181003933223643,0,0.27213296903723594,0.2231177776290303,0.33107493681289535
0.4181003933223643,1,0.8993586441058781,0.8726516339132,0.9229533325302711
0.4465598372804064,0,0.2740459189201885,0.2253192452288883,0.3343379630452215
0.4465598372804064,1,0.9002416972199687,0.8733892837487464,0.9228186689236697
0.4750192812384484,0,0.27597125161947106,0.22753607252400218,0.3361632157753239
0.4750192812384484,1,0.9011149420096448,0.874182221844737,0.923532185975991
0.5034787251964905,0,0.277908886769512,0.22992454462311337,0.3369279555448371
0.5034787251964905,1,0.9019784739857681,0.8745648923099993,0.9247015142443954
0.5319381691545325,0,0.2798587382359255,0.23265675408504863,0.3389512894103432
0.5319381691545325,1,0.9028323887206607,0.87501777740726,0.9254281751964412
0.5603976131125745,0,0.2818207140569368,0.23569582235623768,0.34096982901464806
0.5603976131125745,1,0.903676781788942,0.8768442699122524,0.9255658655159862
0.5888570570706166,0,0.28379471639288356,0.23856246924035354,0.3429941860820406
0.5888570570706166,1,0.9045117487112029,0.8786524413942925,0.9265409464318224
0.6173165010286586,0,0.28578064148425425,0.23908370348491137,0.3450243024503602
0.6173165010286586,1,0.9053373849004568,0.8804376376328796,0.9282462077597095
0.6457759449867008,0,0.28777837961871205,0.24112143352100668,0.3467548232293869
0.6457759449867008,1,0.906153785611294,0.8815312677009961,0.9299068582057648
0.6742353889447428,0,0.28978781510753043,0.242812920786591,0.34787289270312144
0.6742353889447428,1,0.9069610458916719,0.8820533260097092,0.9306555337776263
0.7026948329027848,0,0.2918088262718457,0.24453261862919767,0.349248992516612
0.7026948329027848,1,0.9077592605372652,0.8825441189111713,0.9311147350486069
0.7311542768608269,0,0.2938412854391055,0.2459581217632653,0.3519711107788332
0.7311542768608269,1,0.9085485240483024,0.8830345058905399,0.9324378608629974
0.7596137208188689,0,0.29588505895006173,0.24741018915270946,0.3547028963315577
0.7596137208188689,1,0.9093289305888129,0.8834925669439349,0.9332325896780955
0.7880731647769109,0,0.2979400071766228,0.2488679997250492,0.35750150406823306
0.7880731647769109,1,0.9101005739482081,0.8839486272724755,0.933994764500224
0.816532608734953,0,0.30000598455084243,0.25033154285103115,0.3612838926329338
0.816532608734953,1,0.9108635475051178,0.8844278741341954,0.9347481605696939
0.844992052692995,0,0.3020828396052834,0.25180080746625494,0.3655242944624438
0.844992052692995,1,0.9116179441934071,0.8849188192690005,0.936460332608415
0.873451496651037,0,0.3041704150249492,0.2524994260828197,0.3705689326623661
0.873451496651037,1,0.9123638564702949,0.8854079484795137,0.9382527120738943
0.9019109406090792,0,0.30626854771092904,0.2522505700789447,0.37663072347534704
0.9019109406090792,1,0.9131013762864981,0.8858952661893795,0.9397266074120856
0.9303703845671212,0,0.3083770688558561,0.2520020719431437,0.3827319150830404
0.9303703845671212,1,0.9138305950583262,0.8863807768313613,0.9407045179568064
0.9588298285251633,0,0.3104958040312205,0.25254276174930335,0.38786140418545495
0.9588298285251633,1,0.914551603641649,0.8868644848471301,0.941673727957968
0.9872892724832053,0,0.3126245732865307,0.2539575238294712,0.39393854192104505
0.9872892724832053,1,0.9152644923076663,0.8873463946870543,0.9430657379470376
1.0157487164412473,0,0.31476319126025604,0.25505694437697235,0.4012621418572234
1.0157487164412473,1,0.9159693507204051,0.887826510809992,0.9444024969394715
1.0442081603992894,0,0.31691146730242975,0.25417620613238145,0.4061900534139592
1.0442081603992894,1,0.9166662679158719,0.8883048376830817,0.9456974960458143
1.0726676043573313,0,0.3190692056087299,0.25482403190967373,0.412360915197386
1.0726676043573313,1,0.9173553322827916,0.8887813797815377,0.9459443913226742
1.1011270483153734,0,0.3212362053658008,0.2547782430581472,0.41855944446544585
1.1011270483153734,1,0.9180366315448653,0.8892561415884455,0.9461910004704185
1.1295864922734156,0,0.32341226090751546,0.25413924274402483,0.4246873386921996
1.1295864922734156,1,0.918710252744476,0.8897291275945571,0.9470629654845577
1.1580459362314577,0,0.32559716188182497,0.25319444037313366,0.4286256433407857
1.1580459362314577,1,0.9193762822277823,0.8899351877552805,0.9479215026569067
1.1865053801894996,0,0.32779069342778044,0.2522788831036529,0.4324966434847197
1.1865053801894996,1,0.9200348056311332,0.8900413576414888,0.9487667949991658
