subj,posw,negw,cbias_idx,metad,weight,PSE,intercept,p_repeat,stuborness,correct
S03,1.23167088780219,1.5554262297886896,-0.3237553419864996,0.556,7.243636346193952,-0.1529646397287504,1.0645479671403866,0.719520789288231,0.5700000000000001,0.7430408738548273
s01,3.3867782984456314,1.4685078817691513,1.9182704166764801,0.086,8.9206290581626,-0.08798388722495153,0.7293035122875479,0.8217935165609584,0.813664596273292,0.7603065539112052
s04,1.246839523895196,2.1887095077873875,-0.9418699838921916,0.591,6.706386716088885,-0.05951061968055398,0.3698399905062615,0.7936046511627907,0.6656346749226005,0.8128964059196617
s05,-0.648374102599175,1.1254791633462435,-1.7738532659454185,0.558,7.685025027839246,-0.1996219250619312,1.472166587546919,0.7962893050102352,0.7243589743589745,0.7012357797241519
s07,-2.3120095131897345,-0.15616746071325527,-2.155842052476479,0.596,7.071131043327928,-0.00158315437791984,0.02559952879612673,0.7420634920634921,0.8049242424242424,0.7288961038961039
s08,1.2515313942943391,0.19010928356803264,1.0614221107263064,0.727,6.798408405095412,0.1165543896553588,-0.7464831127416162,0.7300916138125441,0.7533333333333334,0.7058668076109936
s09,1.022341045569147,0.3950815012881591,0.6272595442809881,1.107,4.553561455676679,-0.06628035944344463,0.3352265350361068,0.7816243833685693,0.6964285714285714,0.7359936575052854
s10,1.7462718349524669,1.1869787117502584,0.5592931232022085,1.217,5.972911551458073,0.03974664898692107,-0.2602083704751938,0.7893763213530655,0.8381410256410255,0.7174066243833686
s11,0.6751813115486269,-0.4861029651878426,1.1612842767364695,0.509,7.567908258139394,-0.05983737787834845,0.551889319023657,0.7656800563777307,0.6561996779388084,0.7399577167019027
s12,-2.176335570652406,-0.5753241171232709,-1.601011453529135,0.487,4.844752854174762,-0.24236542382125412,1.2239345332702636,0.7939570119802678,0.8702664796633941,0.6919485553206483
s13,-3.5966548089948174,0.948968279543523,-4.54562308853834,0.794,6.3235644898749745,-0.08762741431491128,0.5413506287120587,0.787878787878788,0.6950000000000001,0.7691155743481325
s14,0.418007261825426,0.43922895531534234,-0.021221693489916316,0.586,5.429144184293382,-0.12960404543259044,0.6974066044009662,0.7548701298701298,0.6431578947368422,0.7442279942279942
s15,0.014466796102870216,-0.8525247400757301,0.8669915361786005,0.913,5.387511544334431,-0.10664009863648777,0.5852519741449662,0.6315186751233263,0.4983974358974359,0.7149400986610289
s16,1.2694822912633708,0.1566938081261807,1.1127884831371901,0.296,6.132571101570703,0.04227679119530572,-0.2385198924056954,0.7575435294522078,0.7945301542776999,0.699773543718524
s17,-0.4645068487544931,0.4020372699013082,-0.8665441186558013,1.106,4.837945067219036,0.20275594598593327,-0.9768141208338953,0.7426885130373503,0.796875,0.6808491895701199
s18,-0.00865813914815794,-0.8622808489642513,0.8536227098160933,0.195,4.5964371594255296,-0.17215155975199384,0.736692264720536,0.7830338266384778,0.8874643874643875,0.6969696969696969
s19,0.6972301736482532,-0.8365613137889725,1.5337914874372256,0.578,5.1060271822904495,-0.12146572050204062,0.6890227492893216,0.7646229739252995,0.7853846153846153,0.7278348266720359
s20,1.121573533529247,2.2318351141361523,-1.1102615806069052,0.596,6.8356010881836875,-0.13860741940041724,0.9228556235525581,0.7846907614349474,0.9705382352941176,0.7316185106882781
s21,1.1276922694386513,0.5804032112126017,0.5472890582260495,0.359,4.89526362480842,-0.15479760118483651,0.527702090705095,0.6947674418604651,0.6451048951048951,0.6713354474982381
s22,1.2003976067766273,0.7549080983617469,0.4454895084148805,1.226,6.334915413767405,0.00792952334661989,-0.002517790234588742,0.806759455015269,0.7271062271062271,0.7466861304070607
s23,1.561888834442154,0.5604187617364146,1.0014700727057395,0.444,8.388702723510413,0.038112217685667145,-0.40137636133654375,0.7630373502466526,0.62,0.7710535588442565
s24,1.166556566266939,-0.11457779261483386,1.281134358881773,,10.250175758890071,-0.13504887462084317,1.311321301065598,0.7759866102889359,0.7403846153846154,0.7449788583509513
s25,0.6272500085635667,0.8998171731203983,-0.27256716455683166,0.906,6.837646738071004,-0.19745335465818714,1.323119593743517,0.7625968992248063,0.6689723320158103,0.7358174770965468
s26,-0.423688919283506,2.601397135601665,-3.025086054885171,0.248,8.520480270020869,0.09627428146046783,-0.7524540246818024,0.7018146582100071,0.7370967741935484,0.713354474982382
s27,-0.877097459856713,0.3481606856892313,-1.2252581455459444,0.4,3.380569420039413,-0.23556933796888865,0.7321712127522941,0.5913369576160274,0.4542124542124542,0.7085640457733481
